ticker,date,exdate,DTE,strike,call_premium,put_premium,straddle_premium,straddle_iv,net_delta,open_interest_call,open_interest_put,volume_call,volume_put,strike_diff,impl_volatility_call,impl_volatility_put,adj_best_bid_call,adj_best_offer_call,adj_best_bid_put,adj_best_offer_put,date_pos,H,exit_pos,exit_date,straddle_mid,entry_value,exit_value,r_long,r_short,iv_realized_vol_ratio,iv_rank,realized_vol_30,realized_vol_10,realized_vol_30_rank,mom_5,mom_10,vol_change,iv_skew,log_straddle_premium,spread_call,spread_put,total_volume,total_oi,open_interest_call_full,oi_call_lag5_full,open_interest_put_full,oi_put_lag5_full,oi_change_call,oi_change_put,DTE_norm,day_of_week
AAPL,2023-01-03,2023-02-03,31,125.0,6.625,5.875,12.5,0.4297535,0.07271899999999998,269.0,1048.0,545.0,790.0,0.06999969482421875,0.439131,0.420376,6.55,6.7,5.8,5.95,0,7,7,2023-01-12,12.405,12.5,12.405,-0.007600000000000051,0.007600000000000051,1.3114836260142,,0.32768499085732916,0.3459584015360365,0.08333333333333333,-0.05286718019316287,-0.07276492676138166,-0.018273410678707358,0.018754999999999966,2.5257286443082556,0.022641509433962318,0.025531914893617082,1335.0,1317.0,269.0,,1048.0,,,,0.8857142857142857,1
AAPL,2023-01-04,2023-02-03,30,126.0,6.275,5.525,11.8,0.40858150000000004,0.08288999999999996,342.0,379.0,782.0,555.0,0.3600006103515625,0.410457,0.406706,6.2,6.35,5.45,5.6,1,7,8,2023-01-13,12.094999999999999,11.8,12.094999999999999,0.024999999999999842,-0.024999999999999842,1.3312319445797465,0.0,0.32993555264971003,0.3524395968717377,0.1,-0.02863020291122715,-0.046466014073928426,-0.022504044222027675,0.0037510000000000043,2.468099531471619,0.023904382470119435,0.027149321266968226,1337.0,721.0,342.0,,379.0,,,,0.8571428571428571,2
AAPL,2023-01-05,2023-02-03,29,125.0,6.075,5.574999999999999,11.649999999999999,0.41154650000000004,0.064141,803.0,1387.0,1800.0,24114.0,0.01999664306640625,0.418252,0.404841,6.0,6.15,5.55,5.6,2,7,9,2023-01-17,13.39,11.649999999999999,13.39,0.14935622317596586,-0.14935622317596586,1.0429576687064395,0.5,0.32681490807133823,0.35279511501199434,0.08333333333333333,-0.008125626500364582,-0.05659839653536894,-0.025980206940656114,0.013411000000000006,2.4553061800117093,0.024691358024691416,0.00896860986547082,25914.0,2190.0,803.0,,1387.0,,,,0.8285714285714286,3
AAPL,2023-01-06,2023-02-03,28,130.0,5.375,5.525,10.9,0.3773785,0.03420699999999999,16312.0,987.0,1143.0,2283.0,0.3800048828125,0.377313,0.377444,5.3,5.45,5.45,5.6,3,7,10,2023-01-18,9.965,10.9,9.965,-0.08577981651376151,0.08577981651376151,1.097253658518221,0.0,0.34393004486276063,0.3860937845612879,0.16666666666666666,7.710918493699509e-05,-0.04399549067123205,-0.04216373969852727,-0.00013099999999999223,2.388762789235098,0.027906976744186112,0.027149321266968226,3426.0,17299.0,16312.0,,987.0,,,,0.8,4
AAPL,2023-01-06,2023-02-10,35,130.0,5.85,6.0,11.85,0.3692075,0.03935000000000005,535.0,101.0,425.0,227.0,0.3800048828125,0.368594,0.369821,5.75,5.95,5.9,6.1,3,7,10,2023-01-18,10.844999999999999,11.85,10.844999999999999,-0.08481012658227854,0.08481012658227854,1.0734959202163508,0.0,0.34393004486276063,0.3860937845612879,0.16666666666666666,7.710918493699509e-05,-0.04399549067123205,-0.04216373969852727,-0.0012270000000000336,2.47232786758114,0.03418803418803422,0.033333333333333215,652.0,636.0,535.0,,101.0,,,,1.0,4
AAPL,2023-01-09,2023-02-10,32,130.0,6.025,5.525,11.55,0.3753565,0.066606,610.0,205.0,481.0,282.0,0.149993896484375,0.378868,0.371845,5.95,6.1,5.45,5.6,4,7,11,2023-01-19,11.059999999999999,11.55,11.059999999999999,-0.04242424242424259,0.04242424242424259,0.6498850050883701,0.2,0.34347091202375574,0.371540082349719,0.15,0.0016917970204179708,-0.015855213713338104,-0.02806917032596329,0.0070230000000000015,2.446685436967803,0.024896265560165887,0.027149321266968226,763.0,815.0,610.0,,205.0,,,,0.9142857142857143,0
AAPL,2023-01-11,2023-02-10,30,133.0,5.975,5.275,11.25,0.3683335,0.08247299999999996,1232.0,103.0,241.0,106.0,0.4900054931640625,0.36822,0.368447,5.9,6.05,5.2,5.35,6,7,13,2023-01-23,11.625000000000002,11.25,11.625000000000002,0.03333333333333349,-0.03333333333333349,0.7086325129351592,0.0,0.34217396613513806,0.37934374673324095,0.16666666666666666,0.05489162905387507,0.02626142614264778,-0.037169780598102886,-0.00022700000000003273,2.4203681286504293,0.025104602510460164,0.02843601895734587,347.0,1335.0,1232.0,957.0,103.0,53.0,0.28735632183908044,0.9433962264150944,0.8571428571428571,2
AAPL,2023-01-12,2023-02-10,29,133.0,5.675,4.925,10.6,0.3529715,0.07729799999999998,1241.0,150.0,353.0,143.0,0.410003662109375,0.357462,0.348481,5.6,5.75,4.85,5.0,7,7,14,2023-01-24,12.425,10.6,12.425,0.17216981132075482,-0.17216981132075482,0.7803446136622902,0.0,0.33752240262781513,0.33106461298932793,0.13333333333333333,0.0649534229882574,0.056827796487892684,0.006457789638487199,0.008981000000000017,2.3608540011180215,0.026431718061674072,0.030456852791878247,496.0,1391.0,1241.0,960.0,150.0,76.0,0.29270833333333335,0.9736842105263158,0.8285714285714286,3
AAPL,2023-01-13,2023-02-10,28,135.0,5.0,4.925,9.925,0.3324775,0.034019999999999995,760.0,293.0,333.0,219.0,0.2400054931640625,0.336657,0.328298,4.95,5.05,4.85,5.0,8,7,15,2023-01-25,10.795,9.925,10.795,0.0876574307304785,-0.0876574307304785,0.7545845224068397,0.0,0.30595462150114866,0.30885246384491677,0.03333333333333333,0.038888322446420036,0.03896543163135689,-0.002897842343768109,0.008359000000000005,2.295056826573254,0.019999999999999928,0.030456852791878247,552.0,1053.0,760.0,575.0,293.0,65.0,0.3217391304347826,3.5076923076923077,0.8,4
AAPL,2023-01-13,2023-02-17,35,135.0,5.475,5.4,10.875,0.32626299999999997,0.040470000000000006,43449.0,26958.0,3068.0,2352.0,0.2400054931640625,0.327536,0.32499,5.45,5.5,5.35,5.45,8,7,15,2023-01-25,11.655,10.875,11.655,0.07172413793103442,-0.07172413793103442,0.7404802130490716,0.0,0.30595462150114866,0.30885246384491677,0.03333333333333333,0.038888322446420036,0.03896543163135689,-0.002897842343768109,0.0025459999999999927,2.386466576974748,0.00913242009132417,0.018518518518518615,5420.0,70407.0,43449.0,33507.0,26958.0,22281.0,0.2967141194377294,0.20990978860912884,1.0,4
